ExecutableID: 6251980656, From edge: 1, Row number: 26, SubmitTime: 5849932843, Latency to cloud for ExecutableID 6251980656: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 722.8072045226666,delayed_hit: 0, forward_counter: 1, cost: 0.0,cost_counter: 0
ExecutableID: 6251980656, From edge: 1, Row number: 36, SubmitTime: 6033457284, Latency to cloud for ExecutableID 6251980656: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 1445.614409045333,delayed_hit: 0, forward_counter: 2, cost: 4870.134999722666,cost_counter: 4870.134999722666
ExecutableID: 6251625636, From edge: 1, Row number: 41, SubmitTime: 6161044787, Latency to cloud for ExecutableID 6251625636: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 2168.421613568,delayed_hit: 0, forward_counter: 3, cost: 0.0,cost_counter: 4870.134999722666
ExecutableID: 6254196741, From edge: 2, Row number: 2, SubmitTime: 40697334521, Latency to cloud for ExecutableID 6254196741: 239.26546978133334, , ,Number of cache hits: 0,Total Latency: 2407.687083349333,delayed_hit: 0, forward_counter: 4, cost: 0.0,cost_counter: 4870.134999722666
ExecutableID: 6254196741, From edge: 2, Row number: 3, SubmitTime: 40697334523, Latency to cloud for ExecutableID 6254196741: 239.26546978133334, , ,Number of cache hits: 0,Total Latency: 2646.9525531306663,delayed_hit: 0, forward_counter: 5, cost: 444.08172270933335,cost_counter: 5314.216722431999
ExecutableID: 6253582722, From edge: 3, Row number: 2, SubmitTime: 30671203388, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 3369.7597576533326,delayed_hit: 0, forward_counter: 6, cost: 0.0,cost_counter: 5314.216722431999
ExecutableID: 6253582722, From edge: 3, Row number: 3, SubmitTime: 30671203390, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 4092.566962175999,delayed_hit: 0, forward_counter: 7, cost: 1439.5298720426665,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 4, SubmitTime: 30671203392, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 4815.374166698665,delayed_hit: 0, forward_counter: 8, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 5, SubmitTime: 30671203394, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 5538.181371221332,delayed_hit: 0, forward_counter: 9, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 6, SubmitTime: 30671203396, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 6260.988575743998,delayed_hit: 0, forward_counter: 10, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 7, SubmitTime: 30671203398, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 6983.795780266664,delayed_hit: 0, forward_counter: 11, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 8, SubmitTime: 30671203400, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 7706.602984789331,delayed_hit: 0, forward_counter: 12, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 9, SubmitTime: 30671203402, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 8429.410189311997,delayed_hit: 0, forward_counter: 13, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 10, SubmitTime: 30671203404, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 9152.217393834664,delayed_hit: 0, forward_counter: 14, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 11, SubmitTime: 30671203406, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 9875.024598357331,delayed_hit: 0, forward_counter: 15, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 12, SubmitTime: 30671203408, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 10597.831802879999,delayed_hit: 0, forward_counter: 16, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 13, SubmitTime: 30671203410, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 11320.639007402666,delayed_hit: 0, forward_counter: 17, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 14, SubmitTime: 30671203412, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 12043.446211925333,delayed_hit: 0, forward_counter: 18, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 15, SubmitTime: 30671203414, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 12766.253416448,delayed_hit: 0, forward_counter: 19, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 16, SubmitTime: 30671203416, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 13489.060620970668,delayed_hit: 0, forward_counter: 20, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 17, SubmitTime: 30671203418, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 14211.867825493335,delayed_hit: 0, forward_counter: 21, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 18, SubmitTime: 30671203420, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 14934.675030016002,delayed_hit: 0, forward_counter: 22, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 19, SubmitTime: 30671203422, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 15657.48223453867,delayed_hit: 0, forward_counter: 23, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 20, SubmitTime: 30671203424, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 16380.289439061336,delayed_hit: 0, forward_counter: 24, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 21, SubmitTime: 30671203426, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 17103.096643584002,delayed_hit: 0, forward_counter: 25, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 22, SubmitTime: 30671203428, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 17825.903848106667,delayed_hit: 0, forward_counter: 26, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 23, SubmitTime: 30671203430, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 18548.711052629333,delayed_hit: 0, forward_counter: 27, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 24, SubmitTime: 30671203432, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 19271.518257151998,delayed_hit: 0, forward_counter: 28, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 25, SubmitTime: 30671203434, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 19994.325461674664,delayed_hit: 0, forward_counter: 29, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 26, SubmitTime: 30671203436, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 20717.13266619733,delayed_hit: 0, forward_counter: 30, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 27, SubmitTime: 30671203438, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 21439.939870719994,delayed_hit: 0, forward_counter: 31, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 28, SubmitTime: 30671203440, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 22162.74707524266,delayed_hit: 0, forward_counter: 32, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 29, SubmitTime: 30671203442, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 22885.554279765325,delayed_hit: 0, forward_counter: 33, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 30, SubmitTime: 30671203444, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 23608.36148428799,delayed_hit: 0, forward_counter: 34, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253582722, From edge: 3, Row number: 31, SubmitTime: 30671203446, Latency to cloud for ExecutableID 6253582722: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 24331.168688810656,delayed_hit: 0, forward_counter: 35, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253581351, From edge: 3, Row number: 32, SubmitTime: 30675292976, Latency to cloud for ExecutableID 6253581351: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 25053.97589333332,delayed_hit: 0, forward_counter: 36, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253583166, From edge: 3, Row number: 33, SubmitTime: 30683648610, Latency to cloud for ExecutableID 6253583166: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 25776.783097855987,delayed_hit: 0, forward_counter: 37, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253585101, From edge: 3, Row number: 35, SubmitTime: 30762242444, Latency to cloud for ExecutableID 6253585101: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 26499.590302378652,delayed_hit: 0, forward_counter: 38, cost: 0.0,cost_counter: 6753.7465944746655
ExecutableID: 6253589046, From edge: 3, Row number: 446, SubmitTime: 30861070070, Latency to cloud for ExecutableID 6253589046: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 27222.397506901318,delayed_hit: 0, forward_counter: 39, cost: 825.3495487146665,cost_counter: 7579.096143189332
ExecutableID: 6253589622, From edge: 3, Row number: 452, SubmitTime: 30885493325, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 27945.204711423983,delayed_hit: 0, forward_counter: 40, cost: 0.0,cost_counter: 7579.096143189332
ExecutableID: 6253589622, From edge: 3, Row number: 453, SubmitTime: 30885493327, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 28668.01191594665,delayed_hit: 0, forward_counter: 41, cost: 0.0,cost_counter: 7579.096143189332
ExecutableID: 6253589622, From edge: 3, Row number: 454, SubmitTime: 30885493329, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 29390.819120469314,delayed_hit: 0, forward_counter: 42, cost: 0.0,cost_counter: 7579.096143189332
ExecutableID: 6253589622, From edge: 3, Row number: 455, SubmitTime: 30885493331, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 30113.62632499198,delayed_hit: 0, forward_counter: 43, cost: 2744.1261882026665,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 456, SubmitTime: 30885493333, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 30836.433529514645,delayed_hit: 0, forward_counter: 44, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 457, SubmitTime: 30885493335, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 31559.24073403731,delayed_hit: 0, forward_counter: 45, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 458, SubmitTime: 30885493337, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 32282.047938559976,delayed_hit: 0, forward_counter: 46, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 459, SubmitTime: 30885493339, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 33004.85514308264,delayed_hit: 0, forward_counter: 47, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 460, SubmitTime: 30885493341, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 33727.66234760531,delayed_hit: 0, forward_counter: 48, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 461, SubmitTime: 30885493343, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 34450.46955212797,delayed_hit: 0, forward_counter: 49, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 462, SubmitTime: 30885493345, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 35173.27675665064,delayed_hit: 0, forward_counter: 50, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 463, SubmitTime: 30885493347, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 35896.0839611733,delayed_hit: 0, forward_counter: 51, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 464, SubmitTime: 30885493349, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 36618.89116569597,delayed_hit: 0, forward_counter: 52, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 465, SubmitTime: 30885493351, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 37341.69837021863,delayed_hit: 0, forward_counter: 53, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 466, SubmitTime: 30885493353, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 38064.5055747413,delayed_hit: 0, forward_counter: 54, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 467, SubmitTime: 30885493355, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 38787.312779263964,delayed_hit: 0, forward_counter: 55, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 468, SubmitTime: 30885493357, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 39510.11998378663,delayed_hit: 0, forward_counter: 56, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 469, SubmitTime: 30885493359, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 40232.927188309295,delayed_hit: 0, forward_counter: 57, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 470, SubmitTime: 30885493361, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 40955.73439283196,delayed_hit: 0, forward_counter: 58, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 471, SubmitTime: 30885493363, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 41678.541597354626,delayed_hit: 0, forward_counter: 59, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 472, SubmitTime: 30885493365, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 42401.34880187729,delayed_hit: 0, forward_counter: 60, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 473, SubmitTime: 30885493367, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 43124.15600639996,delayed_hit: 0, forward_counter: 61, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 474, SubmitTime: 30885493369, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 43846.96321092262,delayed_hit: 0, forward_counter: 62, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 475, SubmitTime: 30885493371, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 44569.77041544529,delayed_hit: 0, forward_counter: 63, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 476, SubmitTime: 30885493373, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 45292.57761996795,delayed_hit: 0, forward_counter: 64, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 477, SubmitTime: 30885493375, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 46015.38482449062,delayed_hit: 0, forward_counter: 65, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 478, SubmitTime: 30885493377, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 46738.192029013284,delayed_hit: 0, forward_counter: 66, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 479, SubmitTime: 30885493379, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 47460.99923353595,delayed_hit: 0, forward_counter: 67, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 480, SubmitTime: 30885493381, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 48183.806438058615,delayed_hit: 0, forward_counter: 68, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 481, SubmitTime: 30885493383, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 48906.61364258128,delayed_hit: 0, forward_counter: 69, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 482, SubmitTime: 30885493385, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 49629.420847103946,delayed_hit: 0, forward_counter: 70, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 483, SubmitTime: 30885493387, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 50352.22805162661,delayed_hit: 0, forward_counter: 71, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 484, SubmitTime: 30885493389, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 51075.03525614928,delayed_hit: 0, forward_counter: 72, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 485, SubmitTime: 30885493391, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 51797.84246067194,delayed_hit: 0, forward_counter: 73, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 486, SubmitTime: 30885493393, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 52520.64966519461,delayed_hit: 0, forward_counter: 74, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 487, SubmitTime: 30885493395, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 53243.45686971727,delayed_hit: 0, forward_counter: 75, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 488, SubmitTime: 30885493397, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 53966.26407423994,delayed_hit: 0, forward_counter: 76, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 489, SubmitTime: 30885493399, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 54689.0712787626,delayed_hit: 0, forward_counter: 77, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 490, SubmitTime: 30885493401, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 55411.87848328527,delayed_hit: 0, forward_counter: 78, cost: 0.0,cost_counter: 10323.222331391999
ExecutableID: 6253589622, From edge: 3, Row number: 491, SubmitTime: 30885493403, Latency to cloud for ExecutableID 6253589622: 722.8072045226666, , ,Number of cache hits: 0,Total Latency: 56134.685687807934,delayed_hit: 0, forward_counter: 79, cost: 0.0,cost_counter: 10323.222331391999
